SKUCode,Name,Quantity
1-GDS-HYGIE-000000286,ไฮยีน เอ็กซ์เพิร์ท วอช ผลิตภัณฑ์ซักผ้าชนิดน้ำ ป้องกันสีผ้าตกใส่ กลิ่นบูเก้ เฟรช ขนาด1300มล,3000
1-GDS-HYGIE-000000089,ไฮยีน เอ็กซ์เพิร์ท วอช ผลิตภัณฑ์ซักผ้าชนิดน้ำ กลิ่นเลิฟลี่ บลูม (สีชมพู) 2800 มล.,8
1-GDS-HYGIE-000000183,ไฮยีน เอ็กซ์เพิร์ท วอช ผลิตภัณฑ์ซักผ้าชนิดน้ำ กลิ่นฟอร์เอเวอร์ บลูม 1400มล.,8
1-GDS-HYGIE-000000034,"ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เนเจอร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นสปริง แมกโนเลีย (ขาว) 1,100 - 1150 มล.",12
1-GDS-HYGIE-000000027,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เนเจอร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นซันไรส์ คิส (ชมพู) 1100 มล. [1318033906],12
1-GDS-HYGIE-000000029,"ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เนเจอร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นซันไร คิส (สีชมพู) 3,300 - 3500มล.",96
1-GDS-HYGIE-000000031,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เนเจอร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่น มอร์นิ่ง บลูม (ม่วง) 1100 มล. [1318073903],464
1-GDS-HYGIE-000000058,"ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นเลิฟลี่ บลูม(สีชมพู) 1,100 - 1150 มล.",12
1-GDS-HYGIE-000000051,"ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นมิราเคิล บลูม 1,100 - 1,150 มล.",1656
1-GDS-HYGIE-000000067,"ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นพีโอนี บลูม(สีดำ) 3,300 - 3500มล.",132
1-GDS-HYGIE-000000062,"ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นซันคิส บลูมมิ่ง(สีอควา) 3,300 - 3500มล.",76
1-GDS-HYGIE-000000048,ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นแฮปปี้ ซันชายน์(สีส้ม) 3300 มล.,132
1-GDS-HYGIE-000000046,"ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นแฮปปี้ ซันชายน์(ส้ม) 1,100 - 1150 มล.",12
1-GDS-HYGIE-000000040,"ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นมิลค์กี้ ทัช(สีขาว) 3,300 - 3500มล.",1480
1-GDS-HYGIE-000000039,ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นมิลค์กี้ ทัช (สีขาว) 2000 - 2200มล.,6000
1-GDS-HYGIE-000000090,ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นมิลค์กี้ ทัช (สีขาว)  1100-1300 มล.,12
1-GDS-HYGIE-000000177,ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นฟอรเ์อเวอร์ (สีชมพู) 1100มล.,132
1-GDS-HYGIE-000000042,"ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นบลูมมิ่ง ทัช (สีชมพู) 1,100 - 1,300 มล.",12
1-GDS-HYGIE-000000047,ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่น แฮปปี้ ซันชายน์ (สีส้ม) 2200มล.,8
1-GDS-HYGIE-000000288,ไฮยีน ผลิตภัณฑ์ถุงหอม กลิ่นซันไรส์ คิส ขนาด 8 กรัม,24
1-GDS-HYGIE-000000004,ไฮยีน ผลิตภัณฑ์ขจัดคราบสำหรับผ้าขาวและผ้าสี กลิ่นฟลอรัล ขนาด 1000 มล.,12
1-GDS-HYGIE-000000002,ไฮยีน ผลิตภัณฑ์ขจัดคราบสำหรับผ้าขาว สีชมพู 1500 มล.,6
1-GDS-HYGIE-000000300,ไฮยีน ปากกาขจัดคราบ 10 มล.,24
1-GDS-HYGIE-000000081,"ไฮยีน ดิลิเชียส ซีรีส์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นสปริง คัพเค้ก (มิ้นท์) 1,100 - 1150 มล.",12
1-GDS-HYGIE-000000078,"ไฮยีน ดิลิเชียส ซีรีส์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นซัมเมอร์ มาการอง (ชมพู) 1,100 - 1150 มล.",12
1-GDS-IVY00-000000001,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที รสออริจินัล 180มล. แพ็ค4,12
1-GDS-IVY00-000000003,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที รสส้มสายน้ำผึ้ง 180มล. แพ็ค4,12
1-GDS-IVY00-000000004,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที รสสตรอเบอรรี่ 180มล. แพ็ค4,12
1-GDS-IVY00-000000005,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที รสลิ้นจี่ 180มล. แพ็ค4,12
1-GDS-IVY00-000000012,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที เบอร์รี่ไฟเบอร์ รส มิกซ์เบอร์รี่และแครนเบอร์รี่ แพ็ค4,12
1-GDS-WHIZ0-000000016,"วิซ ผลิตภัณฑ์ทำความสะอาดพื้นสูตรเข้มข้น กลิ่นซันไรซ์ คิส (สีชมพู) 5,200 มล.",4
1-GDS-WHIZ0-000000004,วิซ 3D ผลิตภัณฑ์ทำความสะอาดพื้นสูตรเข้มข้น กลิ่น เลิฟลี่ บลูม(ชมพู) 650 - 800 มล.,12
1-GDS-WHIZ0-000000005,วิซ 3D ผลิตภัณฑ์ทำความสะอาดพื้นสูตรเข้มข้น กลิ่น ซันคิส บลูมมิ่ง(ฟ้า) 650 - 800 มล.,12
1-GDS-VIXOL-000000025,วิกซอล ออกซี่ ผลิตภัณฑ์ล้างห้องน้ำและสุขภัณฑ์ กลิ่นสปริง เฟรช ขนาด 700 มล. สีเขียว แพ็ค 3,4
1-GDS-VIXOL-000000014,วิกซอล โกลด์ นำยาล้างห้องน้ำและสุขภัณฑ์ 900 มล สีทอง ซื้อ 2 แถม 1 คุ้มสุด!,4
1-GDS-HYGIE-000000114,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่นการ์เด้น บลอสซั่ม สีบานเย็น 2800 - 3500 มล.,4
1-GDS-HYGIE-000000112,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่น โอเชี่ยน บลู สีฟ้า 2800 - 3500 มล.,4
1-GDS-HYGIE-000000109,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่น สวีท อโรมา สีแดง 2800 - 3500 มล.,4
1-GDS-HYGIE-000000110,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่น พิ้งค์ สวีท สีชมพู 2800 - 3500 มล.,4
1-GDS-HYGIE-000000108,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่น ซอฟท์ ไวท์ สีขาว 2800 - 3500 มล.,4
