SKUCode,Name,Quantity
1-GDS-TARO0-000000072,ทาโร ปลาเส้น 50 กรัม รสเข้มข้น,360
1-GDS-TARO0-000000068,ทาโร ไลท์ 20 กรัม รสออริจินัล,108
1-GDS-TARO0-000000069,ทาโร ปลาเส้น 30 กรัม รสเข้มข้น,168
1-GDS-TARO0-000000067,ทาโร ปลาเส้น 20 กรัม รสสาหร่ายเกาหลี,72
1-GDS-TARO0-000000023,Taro: ทาโร อบกรอบ 18 กรัม รสเข้มข้น,72
1-GDS-TARO0-000000024,Taro: ทาโร อบกรอบ 18 กรัม รสบาร์บีคิว,36
1-GDS-TARO0-000000095,ทาโร ปลาเส้น 30 กรัม รสบาร์บีคิว  (สำหรับสินค้าเบิก FOC เท่านั้น),24
1-GDS-TARO0-000000075,ทาโร ปลาเส้น 50 กรัม รสเข้มข้น (สำหรับสินค้าเบิก FOC เท่านั้น),360
1-GDS-TARO0-000000076,ทาโร ปลาเส้น 50 กรัม รสบาร์บีคิว (สำหรับสินค้าเบิก FOC เท่านั้น),24
1-GDS-TARO0-000000077,ทาโร ปลาเส้น 50 กรัม รสซุปเปอร์แซ่บ (สำหรับสินค้าเบิก FOC เท่านั้น),168
