vendor_sku,vendor_product,bzbs_product,bzbs_sku,probability
1318073903,ไฮยีนปรับเข้มข้น มอร์นิ่งบลูมม่วง 150,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่น มอร์นิ่ง บลูม (ม่วง) 1100 มล. [1318073903],1-GDS-HYGIE-000000031,0.67
1319173901,ไฮยีนปรับเข้มข้น ดิลิเซียสมิ้นท์ 1100,"ไฮยีน ดิลิเชียส ซีรีส์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นซัมเมอร์ มาการอง (ชมพู) 1,100 - 1150 มล.",1-GDS-HYGIE-000000078,0.35
1319174925,ไขยืนปรับเข้มซันดิลิเชียสมิ้นท์ 100แพ็ค,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นซันไรส์ คิส (ชมพู) 1100 มล. [1319174925],1-GDS-HYGIE-000000027,0.3
1319183904,ไฮยีนปรับเข้มข้น ดิลิเชียสชมพู 1100,ไฮยีน ดิลิเชียส ซีรีส์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นฟอรเ์อเวอร์ (สีชมพู) 1100มล.,1-GDS-HYGIE-000000177,0.4
1319184928,ไขยืนปรับเข้มซันคิลิเชียสชมพู 1100แพ็ค,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นซันไรส์ คิส (ชมพู) 1100 มล. [1319184928],1-GDS-HYGIE-000000027,0.3
1319233258,ไฮยีนปรับเข้มข้น ฟอร์เอเวอร์ชมพู 1100,ไฮยีน เอ็กซ์เพิร์ท วอช ผลิตภัณฑ์ซักผ้าชนิดน้ำ กลิ่นฟอร์เอเวอร์ บลูม 1400มล.,1-GDS-HYGIE-000000183,0.35
1330183207,ไฮยีน-ถุงหอม ซันไรส์ ชมพู 8 กรัม,ไฮยีน ผลิตภัณฑ์ถุงหอม กลิ่นซันไรส์ คิส ขนาด 8 กรัม,1-GDS-HYGIE-000000288,0.7
1601303028,ไอวี่ นมเปรี้ยวยูเอชทีพลัส ออริจินอล 1,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที รสออริจินัล 180มล. แพ็ค4,1-GDS-IVY00-000000001,0.6
1601313158,ไอวี่ นมเปรี้ยวยูเอชทีพลัส ลิ้นจี่ 180,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที รสลิ้นจี่ 180มล. แพ็ค4,1-GDS-IVY00-000000005,0.7
1601333127,ไอวี่ นมเปรี้ยวยูเอชทีพลัส สตอเบอร์รี่!,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที รสสตรอเบอรรี่ 180มล. แพ็ค4,1-GDS-IVY00-000000004,0.65
1601343097,ไอวี่ นมเปรี้ยวยูเอชทีพลัส ส้ม 180,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที รสส้มสายน้ำผึ้ง 180มล. แพ็ค4,1-GDS-IVY00-000000003,0.65
1601443493,ไอวี่ นมเปรี้ยวยูเอชทีพลัส มิกซ์เบอร์รีสแครน!,ไอวี่โยเกิร์ตพร้อมดื่ม ยูเอชที เบอร์รี่ไฟเบอร์ รส มิกซ์เบอร์รี่และแครนเบอร์รี่ แพ็ค4,1-GDS-IVY00-000000012,0.6
